2014-03-28 11:55:56 カテゴリを追加しました(1:テスト)
2014-03-28 11:57:53 項目の種類を追加しました
2014-03-28 11:57:56 項目の種類を編集しました
2014-03-28 11:58:00 項目の種類を編集しました
2014-03-28 11:58:11 項目の種類を編集しました
2014-03-28 11:58:23 項目の種類を編集しました
2014-03-28 11:58:40 項目の種類を編集しました
2014-03-28 11:58:43 項目の種類を編集しました
2014-03-28 12:00:08 記事を追加しました(1:テスト投稿)
2014-03-28 15:40:20 項目の種類を編集しました
2014-03-28 15:40:31 項目の種類を編集しました
2014-03-28 15:40:34 項目の種類を編集しました
2014-03-28 15:40:36 項目の種類を編集しました
2014-03-28 15:41:04 記事を編集しました(1:テスト投稿)
2015-04-13 18:15:38 基本設定を変更しました
2015-04-13 18:15:47 基本設定を変更しました
2015-04-13 18:26:26 記事を編集しました(1:はじめまして)
2015-04-13 18:26:51 カテゴリを編集しました(1:スタッフブログ)
2015-04-13 18:30:04 記事を追加しました(2:ハロウィンパーティー)
2015-04-13 18:30:57 記事を追加しました(3:休診のお知らせ)
2015-04-13 18:31:50 記事を追加しました(4:虫歯予防のこと)
2015-04-13 18:32:37 記事を追加しました(5:歯医者さんといえば、、、)
2015-04-13 18:33:26 記事を追加しました(6:はじめまして♪　秋葉原の中川歯科クリニックです＾＾)
2015-04-13 18:58:25 カテゴリを追加しました(2:test スタッフブログ)
2015-04-13 19:04:51 カテゴリを削除しました(2:test スタッフブログ.)
2015-04-14 11:45:51 記事を編集しました(1:はじめまして)
2015-04-14 11:46:02 記事を編集しました(2:ハロウィンパーティー)
2015-04-14 11:46:12 記事を編集しました(3:休診のお知らせ)
2015-04-14 11:46:24 記事を編集しました(4:虫歯予防のこと)
2015-04-14 11:46:34 記事を編集しました(5:歯医者さんといえば、、、)
2015-04-14 11:46:40 記事を編集しました(6:はじめまして♪　秋葉原の中川歯科クリニックです＾＾)
2015-04-14 13:32:23 記事の表示順序を変更しました
2015-04-14 13:32:26 記事の表示順序を変更しました
2015-04-14 13:32:28 記事の表示順序を変更しました
2015-04-14 13:32:30 記事の表示順序を変更しました
2015-04-14 13:32:39 記事の表示順序を変更しました
2015-04-14 15:22:11 記事を編集しました(2:ハロウィンパーティー)
2015-04-14 17:22:17 記事を編集しました(1:はじめまして)
2015-04-14 17:22:28 記事を編集しました(2:ハロウィンパーティー)
2015-04-14 17:22:35 記事を編集しました(3:休診のお知らせ)
2015-04-14 17:22:41 記事を編集しました(4:虫歯予防のこと)
2015-04-14 17:22:48 記事を編集しました(5:歯医者さんといえば、、、)
2015-04-14 17:22:54 記事を編集しました(6:はじめまして♪　秋葉原の中川歯科クリニックです＾＾)
2015-04-23 18:25:25 基本設定を変更しました
2015-06-09 12:27:28 記事を追加しました(7:お久しぶりになってしまいました。。)
2015-06-15 15:31:07 記事を追加しました(8:日吉歯科でのOPセミナー)
2015-06-15 15:32:01 記事を編集しました(8:日吉歯科でのOPセミナー)
2015-06-15 15:34:43 記事を編集しました(8:日吉歯科でのOPセミナー)
2016-07-26 12:51:34 記事を追加しました(9:移転しました)
2016-07-26 14:17:15 記事を追加しました(10:エコシステム)
2016-07-26 14:28:46 記事を追加しました(11:POIC WATER)
2016-07-26 15:20:31 記事を追加しました(12:熱中症！？☆)
2016-07-26 15:43:02 記事を編集しました(10:エコシステム)
2016-11-21 14:20:20 記事を編集しました(11:POIC WATER)
2016-11-21 14:22:02 記事を編集しました(11:POIC WATER)
2016-11-21 15:07:28 記事を編集しました(6:はじめまして♪　秋葉原の中川歯科クリニックです＾＾)
2016-11-21 15:08:18 記事を編集しました(6:はじめまして♪　秋葉原の中川歯科クリニックです＾＾)
2016-11-21 15:08:26 記事を編集しました(6:はじめまして♪　秋葉原の中川歯科クリニックです＾＾)
2016-11-21 15:08:36 記事を編集しました(5:歯医者さんといえば、、、)
2016-11-21 15:08:46 記事を編集しました(4:虫歯予防のこと)
2016-11-21 15:08:56 記事を編集しました(3:休診のお知らせ)
2016-11-21 15:09:04 記事を編集しました(3:休診のお知らせ)
2016-11-21 15:09:14 記事を編集しました(2:ハロウィンパーティー)
2016-11-21 15:09:22 記事を編集しました(1:はじめまして)
2016-11-21 15:10:09 記事を編集しました(2:ハロウィンパーティー)
2016-11-21 15:10:16 記事を編集しました(1:はじめまして)
2016-11-21 15:10:55 記事を編集しました(7:お久しぶりになってしまいました。。)
2016-11-21 15:11:04 記事を編集しました(8:日吉歯科でのOPセミナー)
2016-11-21 15:11:11 記事を編集しました(9:移転しました)
2016-11-21 15:11:18 記事を編集しました(10:エコシステム)
2016-11-21 15:11:24 記事を編集しました(11:POIC WATER)
2016-11-21 15:11:30 記事を編集しました(12:熱中症！？☆)
2016-11-21 15:28:16 記事を追加しました(13:みんなで美味しいディナーに・・・)
2016-12-20 09:24:12 記事を追加しました(14:年末年始の診療のお知らせ)
2017-01-31 17:06:34 記事を追加しました(15:あいうべ体操)
2017-02-17 11:46:46 記事を追加しました(16:４月からの診療のお知らせ)
2017-02-17 12:11:40 記事を追加しました(17:移転１周年☆☆☆)
2017-02-17 12:11:52 記事を編集しました(16:４月からの診療のお知らせ)
2017-02-17 12:12:57 記事を編集しました(16:４月からの診療のお知らせ)
2017-02-17 12:28:53 記事を追加しました(18:中川歯科のセラミック事情｡｡｡！)
2017-04-18 17:00:55 記事を追加しました(19:ファスティングダイエットに挑戦！)
2017-04-18 17:55:38 記事を編集しました(19:ファスティングダイエットに挑戦！)
2017-04-18 17:55:52 記事を編集しました(19:ファスティングダイエットに挑戦！)
2017-04-18 18:02:50 記事を編集しました(19:ファスティングダイエットに挑戦！)
2017-04-25 14:59:12 記事を追加しました(20:早春塾 14期生、第1回に出席しました)
2017-04-25 15:00:06 記事を編集しました(20:早春塾 14期生、第1回に出席しました)
2017-04-26 12:45:55 記事を追加しました(21:【お知らせ】ゴールデンウィーク中の診療について)
2017-04-26 15:28:00 記事を編集しました(21:【お知らせ】ゴールデンウィーク中の診療について)
2017-04-26 15:28:25 記事を編集しました(21:【お知らせ】ゴールデンウィーク中の診療について)
2017-04-26 15:28:31 記事を編集しました(21:【お知らせ】ゴールデンウィーク中の診療について)
2017-05-08 09:36:56 記事を削除しました(21:【お知らせ】ゴールデンウィーク中の診療について)
2017-05-16 10:05:02 記事を追加しました(21:3Mix-MP法® 実習セミナー 基礎Ⅰコースに出席しました)
2017-05-16 10:59:43 記事を編集しました(21:3Mix-MP法® 実習セミナー 基礎Ⅰコースに出席しました)
2017-05-18 10:50:20 記事を追加しました(22:早春塾 14期生、第2回に出席しました -CT撮影について-)
2017-05-18 10:55:34 記事を編集しました(22:早春塾 14期生、第2回に出席しました -CT撮影について-)
2017-05-23 16:51:09 記事を追加しました(23:SHTA研修セミナー修了しました)
2017-05-30 09:57:16 記事を追加しました(24:育児報告① - 乳歯が生えてきました！ -)
2017-05-30 09:58:18 記事を編集しました(24:育児報告① - 乳歯が生えてきました！ -)
2017-05-30 09:59:04 記事を編集しました(24:育児報告① - 乳歯が生えてきました！ -)
2017-05-31 17:11:14 記事を追加しました(25:『子どもの食を育む歯科からのアプローチ』に出席しました)
